18 77
0 13 4
0 1 6
1 3 2
1 10 18
1 6 20
1 14 19
1 7 14
2 9 2
2 11 14
2 16 15
2 3 6
2 0 12
2 7 18
3 16 13
3 1 12
3 12 18
4 13 17
4 0 16
5 9 9
5 16 4
6 15 10
6 13 3
6 8 12
6 3 17
6 1 8
6 12 2
6 4 17
6 5 19
7 9 15
7 15 4
7 8 8
7 16 8
8 16 3
8 10 10
9 15 14
9 8 4
9 11 6
9 16 18
9 1 16
9 4 12
9 14 6
10 8 6
10 11 13
10 3 12
10 6 12
11 16 2
11 0 18
11 5 11
12 9 16
12 1 17
12 2 9
12 4 4
13 9 7
13 15 10
13 0 18
13 5 13
14 9 6
14 8 16
14 1 11
14 0 16
14 2 6
14 5 2
14 7 5
15 13 5
15 16 16
15 5 12
15 7 5
16 13 16
16 8 5
16 0 7
16 6 19
16 7 15
17 11 10
17 3 2
17 1 13
17 6 8
17 5 13
13 10
28
