20 84
0 13 15
0 7 3
0 19 9
0 18 9
1 16 14
1 15 5
1 8 5
1 12 3
1 4 14
2 17 13
2 12 5
2 4 1
2 3 15
3 16 17
3 17 6
3 2 15
3 10 5
4 13 7
4 5 3
4 1 4
4 6 4
4 19 9
5 16 19
5 0 19
5 6 18
5 11 15
5 8 1
6 16 9
6 1 11
6 11 16
7 5 14
7 1 7
7 6 15
7 2 16
7 11 17
7 18 2
7 3 1
8 0 19
8 11 12
8 12 20
8 4 4
9 2 1
9 19 13
9 10 12
10 2 7
10 9 15
10 19 19
10 18 16
11 13 17
11 5 20
11 1 18
11 17 17
11 2 17
11 9 15
11 15 14
11 3 19
12 7 3
12 1 10
13 7 6
13 6 9
13 15 10
13 8 12
13 12 16
13 18 7
14 13 13
14 1 4
14 17 7
14 8 11
14 18 4
15 5 19
15 8 12
15 18 7
16 13 1
16 1 8
16 17 2
16 6 9
16 11 4
17 1 15
17 10 19
18 6 14
18 4 13
19 11 18
19 14 1
19 8 9
5 2
52
